jaccard_similarity,candidate_probability
0.426,0.03413056154161098
0.427,0.03476578821939469
0.428,0.03541109943762444
0.429,0.0360666232214637
0.43,0.036732488633715255
0.431,0.03740882577098503
0.432,0.03809576575943885
0.433,0.038793440750169994
0.434,0.039501983914217886
0.435,0.040221529437127646
0.436,0.04095221251314107
0.437,0.041694169338930775
0.438,0.04244753710694371
0.439,0.04321245399826046
0.44,0.043989059175034706
0.441,0.04477749277245924
0.442,0.0455778958902644
0.443,0.046390410583726616
0.444,0.0472151798541921
0.445,0.04805234763910615
0.446,0.04890205880151721
0.447,0.049764459119054916
0.448,0.05063969527239098
0.449,0.05152791483312724
0.45,0.05242926625116673
0.451,0.05334389884148305
0.452,0.054271962770315096
0.453,0.05521360904079764
0.454,0.05616898947796278
0.455,0.05713825671314343
0.456,0.05812156416774772
0.457,0.05911906603640027
0.458,0.06013091726943487
0.459,0.06115727355473455
0.46,0.06219829129888654
0.461,0.06325412760767302
0.462,0.06432494026585434
0.463,0.06541088771624803
0.464,0.06651212903810466
0.465,0.06762882392472735
0.466,0.06876113266037076
0.467,0.06990921609638079
0.468,0.07107323562655954
0.46900000000000003,0.07225335316177617
0.47000000000000003,0.0734497311037462
0.47100000000000003,0.0746625323180562
0.47200000000000003,0.07589192010633872
0.47300000000000003,0.07713805817765018
0.47400000000000003,0.07840111061897048
0.47500000000000003,0.07968124186490799
0.47600000000000003,0.08097861666649098
0.47700000000000004,0.08229340005911667
0.47800000000000004,0.08362575732961186
0.47900000000000004,0.0849758539823835
0.48,0.08634385570466974
0.481,0.08772992833088411
0.482,0.08913423780599605
0.483,0.09055695014801335
0.484,0.0919982314094725
0.485,0.09345824763798072
0.486,0.0949371648357955
0.487,0.09643514891840155
0.488,0.09795236567209253
0.489,0.09948898071056167
0.49,0.10104515943047598
0.491,0.10262106696599627
0.492,0.10421686814230313
0.493,0.10583272742806127
0.494,0.10746880888681554
0.495,0.10912527612735978
0.496,0.1108022922530083
0.497,0.11250001980980318
0.498,0.11421862073363231
0.499,0.11595825629625833
0.5,0.1177190870502508
0.501,0.1195012727727991
0.502,0.12130497240843308
0.503,0.12313034401061962
0.504,0.12497754468223443
0.505,0.12684673051490314
0.506,0.12873805652723347
0.507,0.13065167660187793
0.508,0.1325877434214907
0.509,0.1345464084035427
0.51,0.1365278216339625
0.511,0.13853213179968094
0.512,0.14055948611999314
0.513,0.14261003027680963
0.514,0.144683908343734
0.515,0.14678126271403047
0.516,0.1489022340274212
0.517,0.1510469610957832
0.518,0.15321558082767472
0.519,0.15540822815177469
0.52,0.15762503593915955
0.521,0.15986613492449997
0.522,0.16213165362613202
0.523,0.16442171826502439
0.524,0.1667364526826578
0.525,0.16907597825784737
0.526,0.1714404138224439
0.527,0.17382987557602703
0.528,0.17624447699953738
0.529,0.178684328767855
0.53,0.18114953866140537
0.531,0.18364021147672993
0.532,0.1861564489360974
0.533,0.1886983495961475
0.534,0.19126600875558641
0.535,0.193859518361979
0.536,0.19647896691762146
0.537,0.1991244393845647
0.538,0.20179601708876127
0.539,0.20449377762342513
0.54,0.2072177947515782
0.541,0.2099681383078228
0.542,0.21274487409941822
0.543,0.21554806380662028
0.544,0.2183777648823758
0.545,0.22123403045138978
0.546,0.22411690920858995
0.547,0.22702644531704486
0.548,0.2299626783053642
0.549,0.23292564296463636
0.55,0.23591536924493273
0.551,0.23893188215143324
0.552,0.2419752016402208
0.553,0.2450453425137884
0.554,0.2481423143163054
0.555,0.25126612122872116
0.556,0.2544167619637234
0.557,0.2575942296606363
0.558,0.26079851178029856
0.559,0.26402958999999704
0.56,0.2672874401085047
