notice_id_a,notice_id_b,label,raw_words,cleaned_words,cleaned_3_shingles
N006731,N006732,same,0.9561128526645768,0.9586206896551724,0.9144602851323829
N002200,N009548,different,0.3611111111111111,0.3624382207578254,0.17892342683851403
N001873,N001874,same,0.9506849315068493,0.9518072289156626,0.9043478260869565
N006820,N010293,different,0.4720357941834452,0.49014778325123154,0.3012345679012346
N004096,N007060,different,0.5819672131147541,0.6221198156682027,0.3785310734463277
N003135,N003543,different,0.5394456289978679,0.5772946859903382,0.35102533172496986
N006564,N007387,different,0.4626865671641791,0.46153846153846156,0.2754491017964072
N004906,N008027,different,0.511340206185567,0.5524475524475524,0.3600944510035419
N000145,N007083,different,0.3333333333333333,0.34459459459459457,0.1735604217356042
N008087,N008088,same,0.4700665188470067,0.4882075471698113,0.3590963139120095
N007153,N007701,different,0.5044722719141324,0.5211538461538462,0.4144486692015209
N010825,N010826,same,0.7325842696629213,0.7412060301507538,0.6833095577746077
N006905,N006906,same,0.9920634920634921,0.9912536443148688,0.980565371024735
N001863,N002786,different,0.38354037267080743,0.3888888888888889,0.19180201082753287
N001735,N005403,different,0.5504032258064516,0.5582417582417583,0.3818589025755879
N009982,N009985,same,0.3669421487603306,0.37857142857142856,0.2367957746478873
N008801,N011616,different,0.4482758620689655,0.4528301886792453,0.2810615199034982
N003201,N011795,different,0.5460636515912898,0.5714285714285714,0.4269102990033223
N009040,N010335,different,0.3233743409490334,0.33396584440227706,0.1559383499546691
N000276,N000278,same,0.3601036269430052,0.3872832369942196,0.30448717948717946
N001338,N001340,same,0.9945504087193461,0.9940298507462687,0.9789103690685413
N011118,N011119,same,0.9597989949748744,0.9635854341736695,0.9090909090909091
N000768,N000770,same,0.7320954907161804,0.7456647398843931,0.7142857142857143
N001515,N006807,different,0.4822546972860125,0.5225653206650831,0.29318181818181815
N009100,N009150,different,0.4349593495934959,0.4646924829157175,0.2727272727272727
N000437,N010413,different,0.3333333333333333,0.3401360544217687,0.16773162939297126
N008497,N008498,same,0.6903669724770642,0.687192118226601,0.5787545787545788
N007145,N007146,same,0.6538461538461539,0.6596858638743456,0.5383522727272727
N007053,N010560,different,0.5,0.5049115913555993,0.36327739387956565
N008280,N010910,different,0.4578059071729958,0.4662004662004662,0.28672150411280845
N001364,N001365,same,0.975609756097561,0.9791044776119403,0.9119601328903655
N001075,N009237,different,0.5820568927789934,0.5956937799043063,0.4518987341772152
N003268,N007976,different,0.6221122112211221,0.6636528028933092,0.5050590219224284
N004168,N004169,same,0.7725490196078432,0.7653276955602537,0.6673662119622246
N003317,N011369,different,0.42857142857142855,0.44396551724137934,0.2552026286966046
N002748,N011595,different,0.5357142857142857,0.5369565217391304,0.4061085972850679
N000873,N002331,different,0.3213644524236984,0.3300970873786408,0.16390243902439025
N009379,N009380,same,0.9916434540389972,0.9938837920489296,0.9893992932862191
N007382,N009541,different,0.36915077989601386,0.3850574712643678,0.20941402497598463
N006828,N011568,different,0.37707948243992606,0.3903420523138833,0.19001919385796545
N005210,N009890,different,0.4147982062780269,0.43073047858942065,0.2556894243641232
N009046,N010077,different,0.45417515274949083,0.4581497797356828,0.34965034965034963
N000659,N006306,different,0.34415584415584416,0.3474426807760141,0.16764953664700927
N005472,N007849,different,0.3492063492063492,0.35813148788927335,0.18032786885245902
N007681,N009555,different,0.5532286212914486,0.575187969924812,0.4237588652482269
N007201,N010116,different,0.4604651162790698,0.4690721649484536,0.2748299319727891
N002665,N004599,different,0.37251908396946565,0.3860232945091514,0.18769716088328076
N007557,N008376,different,0.6305841924398625,0.6724806201550387,0.4746588693957115
N000189,N001381,different,0.4666666666666667,0.48259860788863107,0.2783018867924528
N004220,N007941,different,0.5452865064695009,0.5603271983640081,0.4023109243697479
N002036,N008928,different,0.25796178343949044,0.26758147512864494,0.11960132890365449
N003662,N010020,different,0.49746192893401014,0.5,0.2822085889570552
N004066,N006280,different,0.43935926773455375,0.44,0.2597911227154047
N005647,N010086,different,0.4197002141327623,0.44047619047619047,0.2753441802252816
N002586,N006131,different,0.41735537190082644,0.44110854503464203,0.2810304449648712
N004043,N004969,different,0.28213689482470783,0.29084380610412924,0.1307300509337861
N010853,N010857,same,0.7964601769911505,0.7990314769975787,0.7570093457943925
N000202,N007774,different,0.49889135254988914,0.5277777777777778,0.35374149659863946
N002852,N002853,same,0.7218543046357616,0.7216981132075472,0.598531211750306
N008049,N010976,different,0.4427083333333333,0.45272206303724927,0.25358166189111747
N010028,N010039,different,0.525,0.542528735632184,0.3908872901678657
N004028,N010035,different,0.45685279187817257,0.45789473684210524,0.2803738317757009
N001702,N010946,different,0.3659043659043659,0.386046511627907,0.22867737948084055
N008791,N008803,different,0.5567970204841713,0.5811623246492986,0.43822393822393824
N000684,N004640,different,0.4959016393442623,0.5206422018348624,0.31053811659192826
N011929,N011930,same,0.5547445255474452,0.549407114624506,0.40218470705064546
N003860,N004075,different,0.5166994106090373,0.5333333333333333,0.3721973094170404
N003884,N007431,different,0.3552188552188552,0.3555956678700361,0.16166666666666665
N002204,N007953,different,0.4282511210762332,0.43103448275862066,0.22388059701492538
N005664,N005666,same,0.932258064516129,0.9501779359430605,0.8898305084745762
N003982,N006359,different,0.48398576512455516,0.5047619047619047,0.39888164026095063
N002817,N002819,same,0.411522633744856,0.41555555555555557,0.2852272727272727
N002626,N002629,same,0.6716417910447762,0.6542553191489362,0.5462962962962963
N000262,N002156,different,0.6206293706293706,0.6531007751937985,0.4683663833805477
N000131,N003422,different,0.520746887966805,0.5398230088495575,0.44966442953020136
N000852,N010531,different,0.298989898989899,0.29637526652452023,0.14240506329113925
N003659,N005484,different,0.36683417085427134,0.3673835125448029,0.17904290429042904
N001115,N009773,different,0.6066252587991718,0.639821029082774,0.5099778270509978
N010941,N010942,same,0.9496221662468514,0.9530386740331491,0.9103343465045592
N008101,N008840,different,0.4246575342465753,0.4387755102040816,0.2554054054054054
N005983,N009546,different,0.5703564727954972,0.597165991902834,0.4681059862610402
N001180,N006053,different,0.5345794392523364,0.554639175257732,0.3795243019648397
N004248,N005277,different,0.43648960739030024,0.44072164948453607,0.2325268817204301
N006025,N010086,different,0.48867924528301887,0.5063025210084033,0.2839632277834525
N002970,N007570,different,0.5531496062992126,0.5738396624472574,0.4377551020408163
N002439,N007343,different,0.5196850393700787,0.5361050328227571,0.3872832369942196
N001488,N005914,different,0.48131868131868133,0.5024509803921569,0.2981366459627329
N001624,N006762,different,0.3103448275862069,0.3227665706051873,0.1620795107033639
N004870,N006313,different,0.5145228215767634,0.5388235294117647,0.3470873786407767
N011017,N011020,same,0.682648401826484,0.6852300242130751,0.5726600985221675
N002389,N002391,same,0.7272727272727273,0.7142857142857143,0.5873205741626795
N000672,N002056,different,0.33934426229508197,0.3450087565674256,0.16422764227642275
N003476,N004605,different,0.5128205128205128,0.5238095238095238,0.3217391304347826
N008022,N010492,different,0.5801526717557252,0.5979591836734693,0.44390243902439025
N009775,N009854,different,0.29338103756708406,0.2923076923076923,0.11373976342129208
N001443,N010092,different,0.5299295774647887,0.5546875,0.3715686274509804
N008152,N008153,same,0.9584905660377359,0.9665271966527197,0.9276485788113695
N004151,N009894,different,0.36645962732919257,0.37860780984719866,0.17708333333333334
N009151,N011771,different,0.5433884297520661,0.5521739130434783,0.4482758620689655
N004672,N008166,different,0.6337209302325582,0.6659663865546218,0.5336091003102379
N005081,N007027,different,0.39454545454545453,0.41922290388548056,0.2572314049586777
N002173,N008545,different,0.5140562248995983,0.5535307517084282,0.30491803278688523
N003781,N003783,same,0.9445983379501385,0.9577039274924471,0.9063032367972743
N002084,N007552,different,0.45161290322580644,0.48863636363636365,0.2904191616766467
N004001,N004002,same,0.5458089668615984,0.5617021276595745,0.49265536723163844
N009163,N009439,different,0.44798657718120805,0.469811320754717,0.27522935779816515
N002426,N003338,different,0.34222919937205654,0.3469387755102041,0.1745776347546259
N006423,N006425,same,0.9802955665024631,0.9916897506925207,0.946875
N007876,N009829,different,0.6151142355008787,0.653179190751445,0.5164011246485474
N007687,N009311,different,0.6243093922651933,0.6522633744855967,0.46473029045643155
N001746,N002955,different,0.2672727272727273,0.27485380116959063,0.11854684512428298
N008284,N008285,same,0.718562874251497,0.720173535791757,0.6017897091722595
N001309,N011869,different,0.30019120458891013,0.3008130081300813,0.14314928425357873
N002589,N004081,different,0.35071942446043164,0.35372848948374763,0.16007194244604317
N005300,N006349,different,0.5402061855670103,0.5626373626373626,0.4474835886214442
N009455,N009456,same,0.7037974683544304,0.7085561497326203,0.568
N004081,N010560,different,0.34965034965034963,0.35,0.1779513888888889
N004306,N004307,same,0.989247311827957,0.9920948616600791,0.9853300733496333
N000884,N011090,different,0.4948453608247423,0.503370786516854,0.36682242990654207
N000010,N003634,different,0.34822804314329736,0.36271186440677966,0.1722488038277512
N002225,N011649,different,0.4675324675324675,0.477326968973747,0.27532777115613827
N001484,N003224,different,0.28146853146853146,0.2857142857142857,0.13943161634103018
N008411,N008412,same,0.45051194539249145,0.4794007490636704,0.4017857142857143
N006804,N010502,different,0.40625,0.42330097087378643,0.2482893450635386
N009437,N010826,different,0.5238095238095238,0.5408163265306123,0.4002123142250531
N000335,N007009,different,0.5421052631578948,0.546448087431694,0.3504823151125402
N002857,N005654,different,0.4695121951219512,0.4823008849557522,0.35443037974683544
N000078,N007325,different,0.5025380710659898,0.5133689839572193,0.31329113924050633
N000864,N005773,different,0.4378818737270876,0.44742729306487694,0.24300111982082867
N007718,N008135,different,0.5327433628318584,0.5518590998043053,0.3734238603297769
N006976,N010778,different,0.5199335548172758,0.5392857142857143,0.4175170068027211
N002774,N011414,different,0.47392290249433106,0.48621553884711777,0.2884371029224905
N004762,N010111,different,0.564453125,0.5899581589958159,0.4659090909090909
N003908,N003909,same,0.39558232931726905,0.39869281045751637,0.2652370203160271
N000664,N000666,same,0.5985401459854015,0.6109660574412533,0.4469798657718121
N004323,N009954,different,0.4418604651162791,0.45012787723785164,0.25133689839572193
N010390,N011580,different,0.30851063829787234,0.3125,0.16892725030826142
N004880,N004881,same,0.949874686716792,0.9558011049723757,0.9090909090909091
N000818,N006620,different,0.3467600700525394,0.35,0.2089108910891089
N001043,N002862,different,0.5528942115768463,0.6004566210045662,0.3488372093023256
N000640,N011658,different,0.38972809667673713,0.4033057851239669,0.20444104134762633
N008018,N008676,different,0.27007299270072993,0.2787524366471735,0.12355212355212356
