notice_id_a,notice_id_b,label,exact,estimate,abs_error
N001677,N011151,different,0.20251177394034536,0.23828125,0.03576947605965464
N006731,N006732,same,0.9144602851323829,0.92578125,0.011320964867617134
N002200,N009548,different,0.17892342683851403,0.21875,0.03982657316148597
N001873,N001874,same,0.9043478260869565,0.93359375,0.02924592391304348
N006820,N010293,different,0.3012345679012346,0.34375,0.042515432098765404
N004096,N007060,different,0.3785310734463277,0.4296875,0.05115642655367231
N003135,N003543,different,0.35102533172496986,0.359375,0.008349668275030142
N006564,N007387,different,0.2754491017964072,0.296875,0.021425898203592808
N004906,N008027,different,0.3600944510035419,0.41015625,0.05006179899645807
N000145,N007083,different,0.1735604217356042,0.1796875,0.006127078264395791
N008087,N008088,same,0.3590963139120095,0.3984375,0.039341186087990476
N007153,N007701,different,0.4144486692015209,0.4296875,0.015238830798479097
N010825,N010826,same,0.6833095577746077,0.74609375,0.06278419222539233
N006905,N006906,same,0.980565371024735,0.98046875,9.662102473495526e-05
N001863,N002786,different,0.19180201082753287,0.23046875,0.03866673917246713
N001735,N005403,different,0.3818589025755879,0.359375,0.02248390257558791
N009982,N009985,same,0.2367957746478873,0.234375,0.0024207746478873138
N008801,N011616,different,0.2810615199034982,0.3203125,0.0392509800965018
N003201,N011795,different,0.4269102990033223,0.45703125,0.03012095099667772
N009040,N010335,different,0.1559383499546691,0.15625,0.00031165004533090235
N000276,N000278,same,0.30448717948717946,0.328125,0.02363782051282054
N001338,N001340,same,0.9789103690685413,0.98046875,0.0015583809314586583
N011118,N011119,same,0.9090909090909091,0.9296875,0.02059659090909094
N000768,N000770,same,0.7142857142857143,0.75390625,0.0396205357142857
N001515,N006807,different,0.29318181818181815,0.3125,0.019318181818181845
N009100,N009150,different,0.2727272727272727,0.2890625,0.016335227272727293
N000437,N010413,different,0.16773162939297126,0.171875,0.00414337060702874
N008497,N008498,same,0.5787545787545788,0.578125,0.0006295787545788079
N007145,N007146,same,0.5383522727272727,0.57421875,0.03586647727272729
N007053,N010560,different,0.36327739387956565,0.328125,0.03515239387956565
N008280,N010910,different,0.28672150411280845,0.26953125,0.017190254112808445
N001364,N001365,same,0.9119601328903655,0.9296875,0.017727367109634518
N001075,N009237,different,0.4518987341772152,0.40625,0.04564873417721521
N003268,N007976,different,0.5050590219224284,0.48046875,0.024590271922428353
N004168,N004169,same,0.6673662119622246,0.63671875,0.030647461962224565
N003317,N011369,different,0.2552026286966046,0.30078125,0.045578621303395406
N002748,N011595,different,0.4061085972850679,0.37890625,0.027202347285067874
N000873,N002331,different,0.16390243902439025,0.16015625,0.0037461890243902507
N009379,N009380,same,0.9893992932862191,0.99609375,0.006694456713780883
N007382,N009541,different,0.20941402497598463,0.26953125,0.06011722502401537
N006828,N011568,different,0.19001919385796545,0.21875,0.02873080614203455
N005210,N009890,different,0.2556894243641232,0.26953125,0.013841825635876825
N009046,N010077,different,0.34965034965034963,0.30859375,0.041056599650349634
N000659,N006306,different,0.16764953664700927,0.16796875,0.0003192133529907326
N005472,N007849,different,0.18032786885245902,0.18359375,0.0032658811475409777
N007681,N009555,different,0.4237588652482269,0.40625,0.017508865248226924
N007201,N010116,different,0.2748299319727891,0.3046875,0.0298575680272109
N002665,N004599,different,0.18769716088328076,0.19921875,0.011521589116719244
N007557,N008376,different,0.4746588693957115,0.4609375,0.013721369395711502
N000189,N001381,different,0.2783018867924528,0.31640625,0.038104363207547176
N004220,N007941,different,0.4023109243697479,0.34375,0.05856092436974791
N002036,N008928,different,0.11960132890365449,0.109375,0.010226328903654491
N003662,N010020,different,0.2822085889570552,0.2734375,0.008771088957055195
N004066,N006280,different,0.2597911227154047,0.26953125,0.009740127284595279
N005647,N010086,different,0.2753441802252816,0.30859375,0.03324956977471838
N002586,N006131,different,0.2810304449648712,0.32421875,0.04318830503512883
N004043,N004969,different,0.1307300509337861,0.1484375,0.01770744906621391
N010853,N010857,same,0.7570093457943925,0.77734375,0.020334404205607504
N000202,N007774,different,0.35374149659863946,0.34765625,0.00608524659863946
N002852,N002853,same,0.598531211750306,0.5859375,0.012593711750305991
N008049,N010976,different,0.25358166189111747,0.25,0.0035816618911174714
N010028,N010039,different,0.3908872901678657,0.359375,0.03151229016786572
N004028,N010035,different,0.2803738317757009,0.3359375,0.05556366822429909
N001702,N010946,different,0.22867737948084055,0.28125,0.05257262051915945
N008791,N008803,different,0.43822393822393824,0.47265625,0.034432311776061764
N000684,N004640,different,0.31053811659192826,0.3359375,0.02539938340807174
N011929,N011930,same,0.40218470705064546,0.4140625,0.011877792949354538
N003860,N004075,different,0.3721973094170404,0.34375,0.02844730941704038
N003884,N007431,different,0.16166666666666665,0.140625,0.021041666666666653
N002204,N007953,different,0.22388059701492538,0.234375,0.010494402985074619
N005664,N005666,same,0.8898305084745762,0.890625,0.0007944915254237683
N003982,N006359,different,0.39888164026095063,0.41015625,0.011274609739049368
N002817,N002819,same,0.2852272727272727,0.25,0.03522727272727272
N002626,N002629,same,0.5462962962962963,0.54296875,0.00332754629629628
N000262,N002156,different,0.4683663833805477,0.4921875,0.0238211166194523
N000131,N003422,different,0.44966442953020136,0.4140625,0.03560192953020136
N000852,N010531,different,0.14240506329113925,0.13671875,0.00568631329113925
N003659,N005484,different,0.17904290429042904,0.18359375,0.004550845709570955
N001115,N009773,different,0.5099778270509978,0.5390625,0.029084672949002188
N010941,N010942,same,0.9103343465045592,0.9375,0.027165653495440756
N008101,N008840,different,0.2554054054054054,0.27734375,0.021938344594594594
N005983,N009546,different,0.4681059862610402,0.4765625,0.008456513738959781
N001180,N006053,different,0.3795243019648397,0.375,0.0045243019648397165
N004248,N005277,different,0.2325268817204301,0.2421875,0.009660618279569905
N006025,N010086,different,0.2839632277834525,0.3046875,0.02072427221654749
N002970,N007570,different,0.4377551020408163,0.484375,0.0466198979591837
